subject,run,trial,set_size,probe,response,correct,response_time
004,2,25,7,target,old,1,2.9615045189000284
004,3,1,3,target,old,1,1.6654053999999974
004,3,2,5,target,old,1,1.357204400700006
004,3,3,3,lure,new,1,1.1527037376000067
004,3,4,7,lure,new,1,1.0959035533999923
004,3,5,7,target,new,0,2.1728070453000043
004,3,6,7,target,old,1,1.6574053740999943
004,3,7,3,target,old,1,0.8636028001999989
004,3,8,7,target,old,1,1.2409040235999953
004,3,9,5,lure,new,1,1.199903890599984
004,3,10,3,target,old,1,1.3904045083000085
004,3,11,5,lure,new,1,2.0767067336000196
004,3,12,5,target,old,1,1.4279046300000005
004,3,13,5,target,new,0,1.7066055336999852
004,3,14,7,lure,new,1,1.5713050950000138
004,3,15,3,lure,new,1,1.0871035248999874
004,3,16,7,target,old,1,1.1305036657000187
004,3,17,7,target,old,1,1.6687054106999994
004,3,18,7,target,old,1,1.4344046511000101
004,3,19,5,target,old,1,0.9472030713000095
004,3,20,5,lure,new,1,2.3766077060999464
004,3,21,3,lure,new,1,1.787405795599966
004,3,22,5,lure,new,1,1.8220059079000066
004,3,23,3,target,old,1,1.045703390700055
004,3,24,3,lure,new,1,1.0944035485999848
004,3,25,7,target,old,1,2.960909600700006
004,4,1,5,lure,new,1,1.1326954630999992
004,4,2,7,lure,old,0,1.0444958162999995
004,4,3,3,target,old,1,2.816688717900007
004,4,4,5,lure,new,1,1.0281958817000003
004,4,5,7,lure,new,1,1.2276950825000057
004,4,6,7,lure,new,1,2.2016911812000046
004,4,7,3,target,old,1,1.1585953592999942
004,4,8,5,target,new,0,1.9208923060000131
004,4,9,3,target,old,1,0.9842960574000017
004,4,10,3,lure,new,1,2.0147919299000137
004,4,11,7,target,old,1,1.6325934606999795
004,4,12,7,target,old,1,1.2891948362000107
004,4,13,7,lure,new,1,1.5486937967999665
004,4,14,5,lure,new,1,1.3960944079999535
004,4,15,5,lure,new,1,1.3024947828999984
004,4,16,5,target,old,1,1.0699957141999903
004,4,17,3,lure,new,1,1.1644953356999963
004,4,18,7,lure,new,1,2.10299157649996
004,4,19,3,lure,new,1,0.9467962076000163
004,4,20,7,target,old,1,1.4255942898000171
004,4,21,3,lure,new,1,1.122995501899993
004,4,22,3,lure,new,1,1.621293506000029
004,4,23,5,target,old,1,1.284594854599959
004,4,24,5,target,old,1,0.904296377899982
004,4,25,5,lure,new,1,11.394954358099994
005,1,1,5,target,old,1,1.239594325499997
005,1,2,7,target,old,1,0.8874959373999971
005,1,3,7,target,old,1,0.9085958406999879
005,1,4,3,target,old,1,0.9304957404999925
005,1,5,5,target,old,1,0.8555960834000018
005,1,6,7,lure,new,1,1.0802950547000023
005,1,7,5,lure,new,1,1.1281948355999987
005,1,8,3,target,old,1,0.9033958644999984
005,1,9,5,target,old,1,1.1999945068000102
005,1,10,3,lure,new,1,0.989095472200006
005,1,11,3,lure,new,1,1.3902936357000044
005,1,12,7,lure,new,1,2.3698891514000024
005,1,13,5,target,old,1,1.2957940682999833
005,1,14,7,lure,new,1,1.6270925517000023
005,1,15,5,target,old,1,2.532388407600024
005,1,16,3,target,old,1,0.9294957450999846
005,1,17,3,target,old,1,1.1736946272999944
005,1,18,5,lure,new,1,2.108390348499995
005,1,19,7,lure,new,1,1.2250943919000292
005,1,20,3,target,old,1,1.0462952103999896
005,1,21,7,lure,new,1,2.426688891500021
005,1,22,3,target,old,1,3.188285405100032
005,1,23,5,target,old,1,0.8549960861000727
005,1,24,7,target,old,1,1.7044921973999863
005,1,25,5,lure,new,1,1.092994996600055
005,2,1,5,target,old,1,1.0592038385000002
005,2,2,3,target,old,1,1.2224044298999956
005,2,3,7,target,old,1,1.0416037746999933
005,2,4,3,lure,new,1,1.2520045372000084
005,2,5,5,lure,new,1,0.9703035162999925
005,2,6,7,target,old,1,0.9740035298000009
005,2,7,7,lure,new,1,0.9591034758000205
005,2,8,3,target,old,1,0.8021029068000018
005,2,9,3,lure,new,1,0.8316030137000041
005,2,10,3,target,old,1,1.2182044146999829
005,2,11,3,lure,new,1,0.887703216999995
005,2,12,5,lure,new,1,0.9040032760000258
005,2,13,5,lure,new,1,0.769402788299999
005,2,14,3,target,old,1,0.9624034876999872
005,2,15,3,target,old,1,0.9248033513999872
005,2,16,5,target,old,1,0.9552034616000356
005,2,17,5,lure,new,1,2.5976094135999688
005,2,18,7,lure,new,1,3.5459128502000112
005,2,19,5,target,old,1,1.5971057877999897
005,2,20,7,target,old,1,0.7549027357999876
005,2,21,7,lure,new,1,0.9662035014999901
005,2,22,3,target,old,1,0.9782035448999409
005,2,23,7,lure,old,0,2.311108375300023
005,2,24,5,target,old,1,3.8270138689000532
005,2,25,7,target,old,1,1.1399041309999802
005,3,1,7,target,old,1,1.2436950183999969
005,3,2,5,target,old,1,1.275594890699999
005,3,3,5,target,old,1,1.2193951158000118
005,3,4,7,target,old,1,1.5734936973999964
005,3,5,5,lure,old,0,1.3451946118999984
005,3,6,3,target,old,1,0.7142971388999797
005,3,7,3,target,old,1,1.112995541999993
005,3,8,5,lure,new,1,1.4734940980000033
005,3,9,3,target,old,1,1.1109955499999842
005,3,10,5,lure,new,1,1.9827920580999887
005,3,11,7,target,new,0,1.1209955098999558
005,3,12,3,lure,new,1,1.0764956881000103
005,3,13,7,target,old,1,1.3912944271999663
005,3,14,7,target,old,1,0.9291962780999938
005,3,15,5,lure,new,1,0.9789960786999927
005,3,16,7,target,old,1,1.5308938681000086
005,3,17,7,target,old,1,2.009591950699985
005,3,18,5,target,old,1,1.0740956978000327
005,3,19,7,lure,new,1,1.8091927533999979
